idTrenICHR,id
TMXTEV 09,1199
DIRMX  25,1200
2APL 15,1201
LMXDX18,1202
FVM 17,1203
AIRVC  08,1204
TMT-07,1205
XRTOMX 14,1206
TMT-09,1207
DPNMX  12,1208
2TMI 16,1209
FXXMZ-10,1210
FXXMZ 20,1211
OPJM-12,1212
IMZMX  10,1213
TMXHU  10,1214
FVM 10,1215
XDIRMX-07,1216
ILZPN25,1217
TMEQ 26,1218
MLRMX-10,1219
TMXTEV-12,1220
DIRMX  17,1221
XDIRMX 10,1222
ILZPN-25,1223
TMT 16,1224
2ILZPN14,1225
TMTQ 20,1226
IMIMX  07,1227
2TMI-16,1228
DTM 15,1229
TMIQ 14,1230
ILZPN-09,1231
DTM 09,1232
ILZPN11,1233
TMXTEV-26,1234
OPMQ-18,1235
VNLMX-19,1236
VNLMX-08,1237
GVM-09,1238
FMZXX-15,1239
TMXTE  20,1240
DTM 13,1241
XDIRMX 07,1242
FXXMZ-21,1243
LMXXI 20,1244
DTM 19,1245
ILZPN19,1246
2DTM-19,1247
2DTM 19,1248
2TMI 20,1249
TPJM 14,1250
LESMX-10,1251
2ILZPN10,1252
TMI-21,1253
AVM 20,1254
FXXMZ 21,1255
OPMQ 07,1256
DTM 06,1257
2DTM 13,1258
SERV.21-15,1259
APL-21,1260
OPJM 07,1261
DPMQ 11,1262
OOM 25,1263
SERV.21-05,1264
SERV.21-03,1265
DOM 14,1266
3ILZPN10,1267
FAZXX  22,1268
VNLMX08,1269
APL-17,1270
LESMX-16,1271
IMZMX-14,1272
ILZPN225,1273
ILZPN10,1274
AIRVC-14,1275
IMZMX  14,1276
AIRVC  11,1277
TMTQ 22,1278
OPM 21,1279
2TMI 24,1280
DIRMX-21,1281
FVM 11,1282
RTOMX  26,1283
QCTIR-16,1284
MMYMX-20,1285
AVM-22,1286
ILZPN21,1287
MLRMX-19,1288
MMYMX-21,1289
FMZXX-22,1290
TMEQ-12,1291
DTM 22,1292
FVM-25,1293
MLRMX-14,1294
RTOMX  24,1295
TMI 22,1296
OPJM-22,1297
MVCMX23,1298
IMIMX  24,1299
GNLMX-20,1300
FVM 25,1301
TMTQ-23,1302
TMXTEV-23,1303
OPM 26,1304
QCM 11,1305
AOM-22,1306
DIRMX-25,1307
FXXMZ-25,1308
ILZPN-12,1309
AOM 22,1310
TMT-18,1311
TFVM042925,1312
APL 12,1313
CUPNTL 21,1314
FXXMZ-26,1315
TMXTE  26,1316
TMEQ-28,1317
2MMYMX-25,1318
TMI 29,1319
APL 28,1320
DVM 18,1321
MVCMX30,1322
LESMX-24,1323
ILZPN2-26,1324
ILZPN226,1325
QCM-26,1326
TMXHUI 29,1327
GKCMXI15,1328
AIRVC  22,1329
DJZMX  27,1330
QCM 26,1331
2GVM 31,1332
APL-26,1333
FMZXX-16,1334
TMTQ-28,1335
TMEQ 28,1336
OPMQ 28,1337
TMXTEO 18,1338
OPMQ-13,1339
MVCMX-28,1340
DPM 28,1341
APL-24,1342
DOM 24,1343
QTM 29,1344
XDGDMX 29,1345
MLRMX-27,1346
2DTM 01,1347
APL 24,1348
QCTIR-01,1349
TMI 28,1350
MVCMX16,1351
IMZMX-18,1352
APL-29,1353
XIGDMX 24,1354
FVM-28,1355
AVM 26,1356
TMTQ 28,1357
DIRMX-29,1358
AVM 17,1359
FAZXX  17,1360
VNLMX-28,1361
TMTQ-01,1362
TMTQ 01,1363
LMXDX01,1364
OPMQ 01,1365
CBPNTL 11,1366
MVCMX-30,1367
ILZPN02,1368
VNLMX28,1369
VMTMX15,1370
ILZPN-31,1371
3GVM-29,1372
XDIRMX 30,1373
OPMQ 25,1374
VNLMX-30,1375
ILZPN-29,1376
MMYMX-29,1377
OPM 03,1378
DOM 05,1379
TMI-05,1380
SERV.23-06,1381
TMT 06,1382
MMYMX-24,1383
OPJM 30,1384
QCM 25,1385
2ILZPN-24,1386
FXXMZ 25,1387
2ILZPN24,1388
TMXTEO-25,1389
FCGXX 01,1390
TMA 24,1391
DTM-05,1392
TMXTE  27,1393
TMXTEO-03,1394
MMYMX-05,1395
XRTOMX 04,1396
TMXTEV 30,1397
2TMI 03,1398
IMZMX  30,1399
2IVM 30,1400
DTM 26,1401
2APL 03,1402
XDGDMX 06,1403
GKCSJI04,1404
LMXDX06,1405
MLRMX-23,1406
VNLMX-25,1407
2MMYMX25,1408
TMXTE  06,1409
TMXTEO 07,1410
RTOMX  02,1411
WMC 07,1412
IMIMX  27,1413
OPMQ 30,1414
MVCMX06,1415
